BSE/BOM533022,20 Microns Ltd
BSE/BOM501209,Maestros Mediline Systems Ltd
BSE/BOM500264,Mafatlal Industries Ltd
BSE/BOM524000,Magma Fincorp Ltd
BSE/BOM524270,Magna Colors Ltd
BSE/BOM517449,Magna Electro Castings Ltd
BSE/BOM523872,Magna Industries & Exports Ltd
BSE/BOM512377,Magnanimous Trade & Finance Ltd
BSE/BOM530347,Magnum Ltd
BSE/BOM532896,Magnum Ventures Ltd
BSE/BOM523384,Maha Rashtra Apex Corporation Ltd
BSE/BOM519612,Mahaan Foods Ltd
BSE/BOM539041,Mahabir Metallex Ltd
BSE/BOM514450,Mahalaxmi Rubtech Ltd
BSE/BOM513460,Mahalaxmi Seamless Ltd
BSE/BOM513554,Mahamaya Steel Industries Ltd
BSE/BOM531515,Mahan Industries Ltd
NSE/MGL,Mahanagar Gas Ltd
BSE/BOM500108,Mahanagar Telephone Nigam Ltd
BSE/BOM530441,Mahanivesh (india) Ltd
BSE/BOM530059,Maharaja Shree Umaid Mills Ltd
BSE/BOM505523,Maharashtra Corporation Ltd
BSE/BOM524232,Maharashtra Polybutenes Ltd
BSE/BOM500266,Maharashtra Scooters Ltd
BSE/BOM500265,Maharashtra Seamless Ltd
BSE/BOM526795,Mahasagar Travels Ltd
BSE/BOM512337,Mahashree Trading Ltd
BSE/BOM539383,Mahaveer Infoway Ltd
BSE/BOM531689,Mahavir Advanced Remedies Ltd
BSE/BOM531664,Mahavir Impex Ltd
BSE/BOM531648,Mahavir Industries Ltd
BSE/BOM506041,Mahesh Agriculture Implements & Steel Forge Ltd
BSE/BOM532720,Mahindra & Mahindra Financial Services Ltd
BSE/BOM500520,Mahindra & Mahindra Ltd
BSE/BOM532756,Mahindra Cie Automotive Ltd
BSE/BOM524138,Mahindra Composites Ltd
NSE/MAHINDFORG,Mahindra Forgings Ltd
BSE/BOM533088,Mahindra Holidays & Resorts India Ltd
BSE/BOM532313,Mahindra Lifespace Developers Ltd
BSE/BOM504823,Mahindra Ugine Steel Coltd
NSE/MAHINDUGIN,Mahindra Ugine Steel Company Ltd
BSE/BOM590078,Maithan Alloys Ltd
BSE/BOM513430,Maitri Enterprises Ltd
BSE/BOM539289,Majesco Ltd
BSE/BOM500267,Majestic Auto Ltd
BSE/BOM539229,Majestic Research Services And Solutions Ltd
BSE/BOM506919,Makers Laboratories Ltd
BSE/BOM501473,Malabar Trading Coltd
BSE/BOM539400,Mallcom (india) Ltd
BSE/BOM532728,Malu Paper Mills Ltd
NSE/MALWACOTT,Malwa Cotton Spg Mills Ltd
BSE/BOM502995,Malwa Cotton Spinning Mills Ltd
NSE/MANINDS,Man Industries (India) Ltd
BSE/BOM533169,Man Infraconstruction Ltd
BSE/BOM539045,Manaksia Aluminium Company Ltd
BSE/BOM539046,Manaksia Coated Metals & Industries Ltd
BSE/BOM539043,Manaksia Industries Ltd
BSE/BOM532932,Manaksia Ltd
BSE/BOM539044,Manaksia Steels Ltd
BSE/BOM500268,Manali Petrochemical Ltd
NSE/MANALIPETC,Manali Petrochemicals Ltd
BSE/BOM531213,Manappuram Finance Ltd
BSE/BOM533204,Mandhana Industries Ltd
BSE/BOM505850,Mangal Credit And Fincorp Ltd
BSE/BOM502157,Mangalam Cement Ltd
BSE/BOM532637,Mangalam Drugs & Organics Ltd
NSE/MANGALAM,Mangalam Drugs And Organics Ltd
BSE/BOM514418,Mangalam Organics Ltd
BSE/BOM539275,Mangalam Seeds Ltd
BSE/BOM516007,Mangalam Timber Products Ltd
BSE/BOM530011,Mangalore Chemicals & Fertilizers Ltd
BSE/BOM500109,Mangalore Refinery & Petrochemicals Ltd
NSE/MRPL,Mangalore Refinery and Petrochemicals Ltd
BSE/BOM530243,Mangalya Soft-tech Ltd
BSE/BOM507938,Manipal Finance Corporation Ltd
BSE/BOM533078,Manjeera Constructions Ltd
BSE/BOM532950,Manjushree Technopack Ltd
BSE/BOM539207,Manpasand Beverages Ltd
BSE/BOM530537,Manraj Housing Finance Ltd
BSE/BOM511758,Mansi Finance (chennai) Ltd
NSE/MANUGRAPH,Manugraph India Ltd
BSE/BOM538970,Manvijay Development Company Ltd
BSE/BOM509762,Mapro Industries Ltd
BSE/BOM521018,Maral Overseas Ltd
BSE/BOM503101,Marathon Nextgen Realty Ltd
BSE/BOM502250,Marathwada Refractories Ltd
BSE/BOM513544,Mardia Samyoung Capillary Tubes Company Ltd
BSE/BOM530543,Marg Ltd
BSE/BOM513648,Marg Projects And Infrastructure Ltd
BSE/BOM500206,Margo Finance Ltd
NSE/MAKE,Marico Kaya Enterprises Ltd
BSE/BOM531642,Marico Ltd
BSE/BOM526891,Market Creators Ltd
BSE/BOM524404,Marksans Pharma Ltd
BSE/BOM517467,Marsons Ltd
BSE/BOM523566,Martin Burn Ltd
BSE/BOM531540,Maruti Infrastructure Ltd
BSE/BOM531319,Maruti Securities Ltd
BSE/BOM532500,Maruti Suzuki India Ltd
BSE/BOM530497,Marvel Capital & Finance (india) Ltd
BSE/BOM523704,Mastek Ltd
BSE/BOM506867,Master Chemicals Ltd
BSE/BOM511768,Master Trust Ltd
BSE/BOM532470,Mather & Platt Fire Systems Ltd
BSE/BOM511688,Mathew Easow Research Securities Ltd
BSE/BOM526671,Matra Kaushal Enterprise Ltd
BSE/BOM512167,Matra Realty Ltd
BSE/BOM539219,Mauria Udyog Ltd
BSE/BOM590083,Mavens Biotech Ltd
BSE/BOM500248,Mavi Industries Ltd
BSE/BOM523371,Mawana Sugars Ltd
BSE/BOM534563,Max Alert Systems Ltd
BSE/BOM500271,Max Financial Services Ltd
NSE/MAX,Max India Ltd
NSE/MAXVIL,Max Ventures and Industries Ltd
BSE/BOM534338,Maxheights Infrastructure Ltd
BSE/BOM526538,Maximaa Systems Ltd
NSE/MAXWELL,Maxwell Industries Ltd
BSE/BOM531221,Mayur Floorings Ltd
BSE/BOM531680,Mayur Leather Products Ltd
NSE/MAYURUNIQ,Mayur Uniquoters Ltd
NSE/MAZDA,Mazda Ltd
BSE/BOM533152,Mbl Infrastructures Ltd
BSE/BOM532852,Mcdowell Holdings Ltd
BSE/BOM532654,Mcleod Russel India Ltd
BSE/BOM532629,Mcnally Bharat Engineering Company Ltd
BSE/BOM523221,Mcs Ltd
BSE/BOM523144,Medi-caps Ltd
BSE/BOM512267,Media Matrix Worldwide Ltd
BSE/BOM503685,Mediaone Global Entertainment Ltd
BSE/BOM531146,Medicamen Biotech Ltd
BSE/BOM526301,Medinova Diagnostic Services Ltd
BSE/BOM538834,Meenakshi Enterprises Ltd
BSE/BOM512505,Meenakshi Steel Industries Ltd
BSE/BOM511276,Mefcom Agro Industries Ltd
BSE/BOM531176,Mefcom Capital Markets Ltd
BSE/BOM531417,Mega Corporation Ltd
BSE/BOM532105,Mega Fin (india) Ltd
BSE/BOM532408,Megasoft Ltd
BSE/BOM532865,Meghmani Organics Ltd
BSE/BOM511367,Meglon Infra-real (india) Ltd
BSE/BOM539012,Megri Soft Ltd
BSE/BOM511740,Mehta Housing Finance Ltd
BSE/BOM511377,Mehta Integrated Finance Ltd
BSE/BOM511738,Mehta Securities Ltd
BSE/BOM532307,Melstar Information Technologies Ltd
NSE/MENONBE,Menon Bearings Ltd
BSE/BOM531727,Menon Pistons Ltd
BSE/BOM539126,Mep Infrastructure Developers Ltd
BSE/BOM538942,Mercantile Ventures Ltd
NSE/MLL,Mercator Lines Ltd
NSE/MERCATOR,Mercator Ltd
BSE/BOM500126,Merck Ltd
BSE/BOM538964,Mercury Laboratories Ltd
BSE/BOM531357,Mercury Metals Ltd
BSE/BOM512415,Mercury Trade Links Ltd
BSE/BOM531810,Metal Coatings (india) Ltd
BSE/BOM513335,Metalyst Forgings Ltd
BSE/BOM532990,Metkore Alloys & Industries Ltd
BSE/BOM500159,Metroglobal Ltd
BSE/BOM512253,Meuse Kara & Sungrace Mafatlal Ltd
BSE/BOM531236,Mewar Polytex Ltd
BSE/BOM531613,Meyer Apparel Ltd
BSE/BOM526622,Mfl India Ltd
BSE/BOM513721,Mfs Intercorp Ltd
BSE/BOM532850,Mic Electronics Ltd
NSE/MICROTECH,Micro Technologies (India) Ltd
BSE/BOM523343,Microse India Ltd
NSE/MICROSEC,Microsec Financial Services Ltd
BSE/BOM526251,Mid East Portfolio Management Ltd
BSE/BOM500277,Mid India Industries Ltd
BSE/BOM531192,Midas Infra Trade Ltd
BSE/BOM531597,Midland Polymers Ltd
BSE/BOM526570,Midwest Gold Ltd
BSE/BOM538895,Mihika Industries Ltd
BSE/BOM531338,Milestone Global Ltd
BSE/BOM507621,Milkfood Ltd
BSE/BOM511187,Millennium Online Solutions ( India ) Ltd
BSE/BOM522235,Minal Industries Ltd
BSE/BOM531456,Minaxi Textiles Ltd
BSE/BOM538962,Minda Corporation Ltd
BSE/BOM539303,Minda Finance Ltd
NSE/MINDAIND,Minda Industries Ltd
BSE/BOM517344,Mindteck (india) Ltd
BSE/BOM532819,Mindtree Ltd
BSE/BOM530955,Mindvision Capital Ltd
BSE/BOM523373,Mini Diamonds (india) Ltd
BSE/BOM532164,Minolta Finance Ltd
BSE/BOM505797,Mipco Seamless Rings (gujarat) Ltd
BSE/BOM500279,Mirc Electronics Ltd
BSE/BOM505336,Mirch Technologies (india) Ltd
BSE/BOM526642,Mirza International Ltd
BSE/BOM539220,Mishka Exim Ltd
BSE/BOM512191,Mishka Finance And Trading Ltd
BSE/BOM523782,Mitshi India Ltd
BSE/BOM522036,Miven Machine Tools Ltd
NSE/MMFL,MM Forgings Ltd
BSE/BOM509196,Mm Rubber Company Ltd
BSE/BOM513377,Mmtc Ltd
BSE/BOM532127,Mobile Telecommunications Ltd
BSE/BOM503772,Modella Woollens Ltd
BSE/BOM519287,Modern Dairies Ltd
BSE/BOM503015,Modern India Ltd
BSE/BOM509760,Modern Shares & Stockbrokers Ltd
BSE/BOM513303,Modern Steels Ltd
BSE/BOM537092,Modex International Securities Ltd
BSE/BOM519003,Modi Naturals Ltd
BSE/BOM500890,Modi Rubber Ltd
BSE/BOM539007,Modi Udyog Ltd
BSE/BOM503776,Modipon Ltd
BSE/BOM506261,Modison Metals Ltd
NSE/MOHITIND,Mohit Industries Ltd
BSE/BOM530169,Mohit Paper Mills Ltd
BSE/BOM532140,Mohite Industries Ltd
BSE/BOM533286,Moil Ltd
BSE/BOM533080,Mold-tek Packaging Ltd
BSE/BOM526263,Mold-tek Technologies Ltd
BSE/BOM511551,Monarch Networth Capital Ltd
BSE/BOM535910,Money Masters Leasing & Finance Ltd
NSE/MMFSL,Money Matters Financial Services Ltd
BSE/BOM532078,Monnet Industries Ltd
BSE/BOM513446,Monnet Ispat & Energy Ltd
NSE/MONNETISPA,Monnet Ispat and Energy Ltd
BSE/BOM532723,Monnet Project Developers Ltd
BSE/BOM505343,Monotype India Ltd
BSE/BOM524084,Monsanto India Ltd
BSE/BOM538836,Monte Carlo Fashions Ltd
BSE/BOM530033,Moonbeam Industries Ltd
BSE/BOM530167,Moongipa Capital Finance Ltd
BSE/BOM539199,Moongipa Securities Ltd
BSE/BOM532621,Morarjee Textiles Ltd
BSE/BOM511549,Morarka Finance Ltd
BSE/BOM500288,Morepen Laboratories Ltd
BSE/BOM526237,Morgan Ventures Ltd
BSE/BOM523160,Morganite Crucible (india) Ltd
BSE/BOM513305,Moryo Industries Ltd
BSE/BOM532407,Moschip Semiconductor Technology Ltd
BSE/BOM517140,Moser Baer India Ltd
NSE/MOSERBAER,Moser-Baer (I) Ltd
BSE/BOM517334,Motherson Sumi Systems Ltd
BSE/BOM532892,Motilal Oswal Financial Services Ltd
BSE/BOM590115,Motilal Oswal Most Shares M50 Etf
NSE/MGOLD,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares Gold ETF
NSE/M100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO
NSE/M50,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF
BSE/BOM536960,Motilal Oswal Mutual Fund - Motilal Oswal Most Shares Midcap 100 Etf- Growth Option
NSE/N100,Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO
BSE/BOM535729,Motilalbbph
BSE/BOM501343,Motor & General Finance Ltd
BSE/BOM531096,Mount Everest Mineral Water Ltd
BSE/BOM507522,Mount Shivalik Industries Ltd
BSE/BOM590011,Moving Picture Company (india) Ltd
BSE/BOM526299,Mphasis Ltd
BSE/BOM500450,Mpil Corporation Ltd
BSE/BOM526143,Mpl Plastics Ltd
BSE/BOM532440,Mps Ltd
BSE/BOM500290,Mrf Ltd
BSE/BOM532376,Mro-tek Ltd
BSE/BOM512065,Mrugesh Trading Ltd
BSE/BOM532650,Msp Steel & Power Ltd
BSE/BOM508922,Msr India Ltd
BSE/BOM534312,Mt Educare Ltd
BSE/BOM531919,Mudit Finlease Ltd
NSE/MUDRA,Mudra Lifestyle Ltd
BSE/BOM538743,Mudunuru Ltd
BSE/BOM532097,Mukand Engineers Ltd
BSE/BOM500460,Mukand Ltd
BSE/BOM523832,Mukat Pipes Ltd
BSE/BOM530341,Mukesh Babu Financial Services Ltd
BSE/BOM513265,Mukesh Steels Ltd
BSE/BOM517374,Mukesh Strips Ltd
BSE/BOM535204,Mukta Agriculture Ltd
BSE/BOM532357,Mukta Arts Ltd
BSE/BOM501477,Muller & Phipps (india) Ltd
BSE/BOM534091,Multi Commodity Exchange Of India Ltd
BSE/BOM526169,Multibase India Ltd
BSE/BOM505594,Multiplus Holdings Ltd
BSE/BOM504356,Multipurpose Trading & Agencies Ltd
NSE/MUNDRAPORT,Mundra Port and Special Economic Zone Ltd
BSE/BOM520059,Munjal Auto Industries Ltd
BSE/BOM520043,Munjal Showa Ltd
BSE/BOM511200,Munoth Capital Market Ltd
BSE/BOM531821,Munoth Financial Services Ltd
BSE/BOM511401,Munoth Investments Ltd
NSE/MURLIIND,Murli Industries Ltd
BSE/BOM515037,Murudeshwar Ceramics Ltd
BSE/BOM511766,Muthoot Capital Services Ltd
BSE/BOM533398,Muthoot Finance Ltd
NSE/MVLIND,MVL Industries Ltd
BSE/BOM532991,Mvl Ltd
BSE/BOM532442,Mw Unitexx Ltd
BSE/BOM538862,My Money Securities Ltd
BSE/BOM502405,Mysore Paper Mills Ltd
BSE/BOM506734,Mysore Petro Chemicals Ltd
BSE/BOM512024,Ndmetal Industries Ltd
BSE/BOM530897,Ngindustries Ltd
BSE/BOM516082,Nragarwal Industries Ltd
BSE/BOM532623,Nrinternational Ltd
BSE/BOM512279,N2n Technologies Ltd
NSE/NDGL,Naga Dhunseri Group Ltd
BSE/BOM531832,Nagarjuna Agri Tech Ltd
BSE/BOM524709,Nagarjuna Agrichem Ltd
BSE/BOM534184,Nagarjuna Oil Refinery Ltd
BSE/BOM532362,Nagpur Power & Industries Ltd
BSE/BOM532895,Nagreeka Capital & Infrastructure Ltd
NSE/NAGREEKEXP,Nagreeka Exports Ltd
BSE/BOM532952,Nahar Capital & Financial Services Ltd
NSE/NAHARCAP,Nahar Capital and Financial Services Ltd
NSE/NAHARINDUS,Nahar Industrial Enterprises Ltd
NSE/NAHARPOLY,Nahar Poly Films Ltd
BSE/BOM523391,Nahar Polyfilms Ltd
BSE/BOM500296,Nahar Spinning Mills Ltd
NSE/NAKODA,Nakoda Ltd
BSE/BOM530375,Nakshatra Infrastructure Ltd
BSE/BOM531212,Nalin Lease Finance Ltd
BSE/BOM532256,Nalwa Sons Investments Ltd
BSE/BOM532641,Nandan Denim Ltd
NSE/NANDAN,Nandan Exim Ltd
BSE/BOM590114,Naolin Enterprises Ltd
NSE/NH,Narayana Hrudayalaya Ltd
BSE/BOM519455,Narbada Gems And Jewellery Ltd
BSE/BOM531416,Narendra Properties Ltd
BSE/BOM526739,Narmada Gelatines Ltd
BSE/BOM524816,Natco Pharma Ltd
BSE/BOM537291,Nath Bio-genes (india) Ltd
BSE/BOM502407,Nath Pulp & Paper Mills Ltd
NSE/NATHSEED,Nath Seeds  Ltd
BSE/BOM532234,National Aluminium Coltd
NSE/NATIONALUM,National Aluminium Company Ltd
BSE/BOM523630,National Fertilizers Ltd
BSE/BOM531289,National Fittings Ltd
BSE/BOM531651,National General Industries Ltd
BSE/BOM507813,National Oxygen Ltd
BSE/BOM500298,National Peroxide Ltd
BSE/BOM526616,National Plastic Industries Ltd
BSE/BOM531287,National Plastic Technologies Ltd
BSE/BOM513179,National Steel & Agro Industries Ltd
NSE/NATNLSTEEL,National Steel And Agro Industries Ltd
NSE/CNX_100,National Stock Exchange of India (NSE) Stock Index - CNX 100
NSE/CNX_100_EQUAL_WEIGHT,National Stock Exchange of India (NSE) Stock Index - CNX 100 Equal Weight
NSE/CNX_200,National Stock Exchange of India (NSE) Stock Index - CNX 200
NSE/CNX_500,National Stock Exchange of India (NSE) Stock Index - CNX 500
NSE/CNX_500_SHARIAH,National Stock Exchange of India (NSE) Stock Index - CNX 500 Shariah
NSE/CNX_ALPHA_INDEX,National Stock Exchange of India (NSE) Stock Index - CNX Alpha
NSE/CNX_AUTO,National Stock Exchange of India (NSE) Stock Index - CNX Auto
NSE/CNX_BANK,National Stock Exchange of India (NSE) Stock Index - CNX Bank
NSE/CNX_COMMODITIES,National Stock Exchange of India (NSE) Stock Index - CNX Commodities
NSE/CNX_CONSUMPTION,National Stock Exchange of India (NSE) Stock Index - CNX Consumption
NSE/CNX_DEFTY,National Stock Exchange of India (NSE) Stock Index - CNX Defty
NSE/CNX_DIVIDEND_OPPT,National Stock Exchange of India (NSE) Stock Index - CNX Dividend Opportunities
NSE/CNX_ENERGY,National Stock Exchange of India (NSE) Stock Index - CNX Energy
NSE/CNX_FINANCE,National Stock Exchange of India (NSE) Stock Index - CNX Finance
NSE/CNX_FMCG,National Stock Exchange of India (NSE) Stock Index - CNX FMCG
NSE/CNX_HIGH_BETA,National Stock Exchange of India (NSE) Stock Index - CNX High Beta
NSE/CNX_INFRA,National Stock Exchange of India (NSE) Stock Index - CNX Infrastructure
NSE/CNX_IT,National Stock Exchange of India (NSE) Stock Index - CNX IT
NSE/CNX_LOW_VOLATILITY,National Stock Exchange of India (NSE) Stock Index - CNX Low Volatility
NSE/CNX_MEDIA,National Stock Exchange of India (NSE) Stock Index - CNX Media
NSE/CNX_METAL,National Stock Exchange of India (NSE) Stock Index - CNX Metal
NSE/CNX_MIDCAP,National Stock Exchange of India (NSE) Stock Index - CNX Midcap
NSE/CNX_MNC,National Stock Exchange of India (NSE) Stock Index - CNX MNC
NSE/CNX_NIFTY,National Stock Exchange of India (NSE) Stock Index - CNX Nifty
NSE/NIFTY_DIVIDEND,National Stock Exchange of India (NSE) Stock Index - CNX Nifty Dividend
NSE/CNX_NIFTY_SHARIAH,National Stock Exchange of India (NSE) Stock Index - CNX Nifty Shariah
NSE/CNX_PHARMA,National Stock Exchange of India (NSE) Stock Index - CNX Pharma
NSE/CNX_PSE,National Stock Exchange of India (NSE) Stock Index - CNX PSE
NSE/CNX_PSU_BANK,National Stock Exchange of India (NSE) Stock Index - CNX PSU Bank
NSE/CNX_REALTY,National Stock Exchange of India (NSE) Stock Index - CNX Realty
NSE/CNX_SERVICE,National Stock Exchange of India (NSE) Stock Index - CNX Service Sector
NSE/CNX_SHARIAH25,National Stock Exchange of India (NSE) Stock Index - CNX Shariah25
NSE/CNX_SMALLCAP,National Stock Exchange of India (NSE) Stock Index - CNX Smallcap
NSE/CPSE_INDEX,National Stock Exchange of India (NSE) Stock Index - CPSE
NSE/CNX_NIFTY_JUNIOR,National Stock Exchange of India (NSE) Stock Index - Junior Nifty
NSE/LIX_15,National Stock Exchange of India (NSE) Stock Index - LIX 15
NSE/LIX15_MIDCAP,National Stock Exchange of India (NSE) Stock Index - LIX15 Midcap
NSE/NI15,National Stock Exchange of India (NSE) Stock Index - NI15
NSE/NIFTY_100,National Stock Exchange of India (NSE) Stock Index - Nifty 100
NSE/NIFTY100_EQUAL_WEIGHT,National Stock Exchange of India (NSE) Stock Index - Nifty 100 Equal Weight
NSE/NIFTY_200,National Stock Exchange of India (NSE) Stock Index - Nifty 200
NSE/NIFTY_50,National Stock Exchange of India (NSE) Stock Index - Nifty 50
NSE/NIFTY_500,National Stock Exchange of India (NSE) Stock Index - Nifty 500
NSE/NIFTY_ALPHA_50,National Stock Exchange of India (NSE) Stock Index - Nifty Alpha 50
NSE/NIFTY_AUTO,National Stock Exchange of India (NSE) Stock Index - Nifty Auto
NSE/NIFTY_BANK,National Stock Exchange of India (NSE) Stock Index - Nifty Bank
NSE/NIFTY_COMMODITIES,National Stock Exchange of India (NSE) Stock Index - Nifty Commodities
NSE/NIFTY_CPSE,National Stock Exchange of India (NSE) Stock Index - Nifty CPSE
NSE/NIFTY_DIV_OPPS_50,National Stock Exchange of India (NSE) Stock Index - Nifty Dividend Opportunities 50
NSE/NIFTY_ENERGY,National Stock Exchange of India (NSE) Stock Index - Nifty Energy
NSE/NIFTY_FIN_SERVICE,National Stock Exchange of India (NSE) Stock Index - Nifty Financial Services
NSE/NIFTY_FMCG,National Stock Exchange of India (NSE) Stock Index - Nifty FMCG
NSE/NIFTY_GROWSECT_15,National Stock Exchange of India (NSE) Stock Index - Nifty Growth Sectors 15
NSE/NIFTY_HIGH_BETA_50,National Stock Exchange of India (NSE) Stock Index - Nifty High Beta 50
NSE/NIFTY_CONSUMPTION,National Stock Exchange of India (NSE) Stock Index - Nifty India Consumption
NSE/NIFTY_INFRA,National Stock Exchange of India (NSE) Stock Index - Nifty Infra
NSE/NIFTY_IT,National Stock Exchange of India (NSE) Stock Index - Nifty IT
NSE/NIFTY_LOW_VOLATILITY_50,National Stock Exchange of India (NSE) Stock Index - Nifty Low Volatility 50
NSE/NIFTY_MEDIA,National Stock Exchange of India (NSE) Stock Index - Nifty Media
NSE/NIFTY_METAL,National Stock Exchange of India (NSE) Stock Index - Nifty Metal
NSE/NIFTY_MIDCAP_100,National Stock Exchange of India (NSE) Stock Index - Nifty Midcap 100
NSE/NIFTY_MIDCAP_50,National Stock Exchange of India (NSE) Stock Index - Nifty Midcap 50
NSE/NIFTY_MIDCAP_LIQUID_15,National Stock Exchange of India (NSE) Stock Index - Nifty Midcap Liquid 15
NSE/NIFTY_MNC,National Stock Exchange of India (NSE) Stock Index - Nifty MNC
NSE/NIFTY_PHARMA,National Stock Exchange of India (NSE) Stock Index - Nifty Pharma
NSE/NIFTY_PSE,National Stock Exchange of India (NSE) Stock Index - Nifty PSE
NSE/NIFTY_PSU_BANK,National Stock Exchange of India (NSE) Stock Index - Nifty PSU Bank
NSE/NIFTY_REALTY,National Stock Exchange of India (NSE) Stock Index - Nifty Realty
NSE/NIFTY_SERV_SECTOR,National Stock Exchange of India (NSE) Stock Index - Nifty Services Sector
NSE/NIFTY_SHARIAH_25,National Stock Exchange of India (NSE) Stock Index - Nifty Shariah 25
NSE/NIFTY_SMALL_100,National Stock Exchange of India (NSE) Stock Index - Nifty Small 100
NSE/NIFTY100_LIQ_15,National Stock Exchange of India (NSE) Stock Index - Nifty100 LIQ 15
NSE/NIFTY50_DIV_POINT,National Stock Exchange of India (NSE) Stock Index - Nifty50 Dividend Points
NSE/NIFTY50_SHARIAH,National Stock Exchange of India (NSE) Stock Index - Nifty50 Shariah
NSE/NIFTY50_VALUE_20,National Stock Exchange of India (NSE) Stock Index - Nifty50 Value 20
NSE/NIFTY500_SHARIAH,National Stock Exchange of India (NSE) Stock Index - Nifty500 Shariah
NSE/NV20,National Stock Exchange of India (NSE) Stock Index - NV 20
NSE/CNX100,National Stock Exchange of India Stock Index - CNX 100
NSE/CNX,National Stock Exchange of India Stock Index - CNX 200
NSE/CNXALPHAINDEX,National Stock Exchange of India Stock Index - CNX ALPHA INDEX
NSE/CNXAUTO,National Stock Exchange of India Stock Index - CNX AUTO
NSE/CNXBANK,National Stock Exchange of India Stock Index - CNX BANK
NSE/CNXCOMMODITIES,National Stock Exchange of India Stock Index - CNX COMMODITIES
NSE/CNXCONSUMPTION,National Stock Exchange of India Stock Index - CNX CONSUMPTION
NSE/CNXDIVIDENDOPPT,National Stock Exchange of India Stock Index - CNX DIVIDEND OPPT
NSE/CNXENERGY,National Stock Exchange of India Stock Index - CNX ENERGY
NSE/CNXFINANCE,National Stock Exchange of India Stock Index - CNX FINANCE
NSE/CNXFMCG,National Stock Exchange of India Stock Index - CNX FMCG
NSE/CNXHIGHBETA,National Stock Exchange of India Stock Index - CNX HIGH BETA
NSE/CNXINFRA,National Stock Exchange of India Stock Index - CNX INFRA
NSE/CNXIT,National Stock Exchange of India Stock Index - CNX IT
NSE/CNXLOWVOLATILITY,National Stock Exchange of India Stock Index - CNX LOW VOLATILITY
NSE/CNXMEDIA,National Stock Exchange of India Stock Index - CNX MEDIA
NSE/CNXMETAL,National Stock Exchange of India Stock Index - CNX METAL
NSE/CNXMIDCAP,National Stock Exchange of India Stock Index - CNX MIDCAP
NSE/CNXMIDCAP200,National Stock Exchange of India Stock Index - CNX MIDCAP 200
NSE/CNXMNC,National Stock Exchange of India Stock Index - CNX MNC
NSE/CNXNIFTYJUNIOR,National Stock Exchange of India Stock Index - CNX NIFTY JUNIOR
NSE/CNXPHARMA,National Stock Exchange of India Stock Index - CNX PHARMA
NSE/CNXPSE,National Stock Exchange of India Stock Index - CNX PSE
NSE/CNXPSUBANK,National Stock Exchange of India Stock Index - CNX PSU BANK
NSE/CNXREALTY,National Stock Exchange of India Stock Index - CNX REALTY
NSE/CNXSERVICE,National Stock Exchange of India Stock Index - CNX SERVICE
NSE/CNXSMALLCAP,National Stock Exchange of India Stock Index - CNX SMALLCAP
NSE/NIFTYDIVIDEND,National Stock Exchange of India Stock Index - NIFTY DIVIDEND
NSE/NIFTYMIDCAP,National Stock Exchange of India Stock Index - NIFTY MIDCAP 50
NSE/SPCNX,National Stock Exchange of India Stock Index - S&P CNX 500
NSE/SPCNX500SHARIAH,National Stock Exchange of India Stock Index - S&P CNX 500 SHARIAH
NSE/SPCNXDEFTY,National Stock Exchange of India Stock Index - S&P CNX DEFTY
NSE/SPCNXNIFTYSHARIAH,National Stock Exchange of India Stock Index - S&P CNX NIFTY SHARIAH
NSE/SPESGINDIAINDEX,National Stock Exchange of India Stock Index - S&P ESG INDIA INDEX
BSE/BOM530119,Natraj Proteins Ltd
BSE/BOM531834,Natura Hue Chem Ltd
BSE/BOM524654,Natural Capsules Ltd
BSE/BOM538926,Naturite Agro Products Ltd
BSE/BOM513023,Nava Bharat Ventures Ltd
BSE/BOM519200,Navcom Industries Ltd
NSE/NAVINFLUOR,Navin Fluorine International Ltd
BSE/BOM531494,Navkar Builders Ltd
BSE/BOM539332,Navkar Corporation Ltd
BSE/BOM508989,Navneet Education Ltd
NSE/NAVNETPUBL,Navneet Publications India Ltd
BSE/BOM538668,Naysaa Securities Ltd
BSE/BOM523242,Nb Footwear Ltd
BSE/BOM534309,Nbcc (india) Ltd
BSE/BOM531452,Ncc Finance Ltd
BSE/BOM500294,Ncc Ltd
NSE/NCLIND,NCL Industries Ltd
BSE/BOM530557,Ncl Research & Financial Services Ltd
BSE/BOM511535,Nda Securities Ltd
BSE/BOM532649,Nectar Lifesciences Ltd
BSE/BOM508670,Neelamalai Agro Industries Ltd
BSE/BOM531049,Neelkanth Rockminerals Ltd
BSE/BOM530697,Neelkanth Technologies Ltd
BSE/BOM539409,Neeraj Paper Marketing Ltd
BSE/BOM519560,Neha International Ltd
BSE/BOM539016,Neil Industries Ltd
BSE/BOM532864,Nelcast Ltd
BSE/BOM504112,Nelco Ltd
BSE/BOM523820,Neo Corp International Ltd
BSE/BOM514332,Neo Infracon Ltd
NSE/NEOCURE,Neocure Therapeutics Ltd
BSE/BOM526195,Neogem India Ltd
BSE/BOM500301,Nepc India Ltd
BSE/BOM505355,Nesco Ltd
